species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,real
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,real
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,real
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,real
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,real
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,real
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,real
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,real
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,real
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,real
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,real
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,real
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,real
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,real
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,real
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,real
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,real
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,real
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,real
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,real
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,real
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,real
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,real
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,real
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,real
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,real
Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,real
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,real
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,real
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,real
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,real
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,real
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,real
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,real
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,real
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,real
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,real
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,real
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,real
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,real
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,real
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,real
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,real
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,real
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,real
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,real
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,real
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,real
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,real
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,real
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,real
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,real
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,real
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,real
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,real
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,real
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,real
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,real
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,real
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,real
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,real
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,real
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,real
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,real
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,real
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,real
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,real
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,real
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,real
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,real
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,real
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,real
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,real
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,real
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,real
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,real
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,real
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,real
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,real
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,real
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,real
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,real
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,real
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,real
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,real
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,real
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,real
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,real
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,real
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,real
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,real
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,real
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,real
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,real
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,real
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,real
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,real
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,real
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,real
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,real
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,real
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,real
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,real
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,real
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,real
Chinstrap,Dream,39.61760711669922,15.596029281616211,181.06072998046875,3367.2353515625,FEMALE,fake
Adelie,Biscoe,35.76616668701172,15.93991756439209,177.02410888671875,3249.435546875,MALE,fake
Gentoo,Biscoe,39.8030891418457,13.7155122756958,193.8971405029297,3901.12548828125,FEMALE,fake
Gentoo,Biscoe,39.99998474121094,15.096407890319824,201.10513305664062,4174.94091796875,MALE,fake
Adelie,Dream,36.58538055419922,16.390661239624023,186.2106475830078,3838.051513671875,MALE,fake
Gentoo,Biscoe,38.53200149536133,13.607065200805664,194.67628479003906,3704.1015625,FEMALE,fake
Gentoo,Biscoe,39.507572174072266,14.287932395935059,198.939208984375,4044.859619140625,MALE,fake
Gentoo,Biscoe,41.00829315185547,14.137685775756836,198.88404846191406,3986.355712890625,MALE,fake
Chinstrap,Dream,42.599246978759766,15.977272987365723,185.1935272216797,3493.43310546875,MALE,fake
Adelie,Torgersen,38.965057373046875,18.05076789855957,185.36257934570312,3612.40478515625,MALE,fake
Adelie,Torgersen,36.55479431152344,16.53655433654785,184.26812744140625,3096.1103515625,FEMALE,fake
Adelie,Torgersen,36.871498107910156,16.975749969482422,186.1026153564453,3153.929443359375,MALE,fake
Adelie,Biscoe,34.50080871582031,15.980925559997559,183.72373962402344,3284.6650390625,FEMALE,fake
Adelie,Biscoe,34.73854446411133,15.864808082580566,183.56011962890625,3141.158447265625,FEMALE,fake
Adelie,Dream,34.507240295410156,16.45318031311035,181.87782287597656,3222.58642578125,FEMALE,fake
Adelie,Dream,34.97797775268555,17.56974983215332,184.1557159423828,3399.779052734375,MALE,fake
Adelie,Torgersen,33.491844177246094,17.51744270324707,185.44639587402344,3533.6962890625,MALE,fake
Adelie,Dream,36.302940368652344,16.084802627563477,184.25181579589844,3683.92919921875,MALE,fake
Gentoo,Biscoe,38.45701599121094,13.437299728393555,193.38441467285156,3532.73046875,FEMALE,fake
Adelie,Dream,35.59193420410156,16.827056884765625,177.78173828125,3528.17724609375,MALE,fake
Gentoo,Biscoe,37.77383804321289,13.918198585510254,195.20751953125,3748.066162109375,FEMALE,fake
Gentoo,Biscoe,39.62690734863281,13.474363327026367,193.1073760986328,3581.5087890625,FEMALE,fake
Adelie,Torgersen,35.489280700683594,16.246068954467773,178.32240295410156,3508.8916015625,MALE,fake
Adelie,Biscoe,35.97758483886719,16.061176300048828,177.78823852539062,3449.060546875,MALE,fake
Adelie,Dream,34.14864730834961,16.256092071533203,178.91375732421875,2984.917724609375,FEMALE,fake
Adelie,Torgersen,38.25624084472656,16.168397903442383,188.83578491210938,3439.892578125,MALE,fake
Adelie,Biscoe,36.10593032836914,16.51512908935547,176.39234924316406,3258.8662109375,MALE,fake
Gentoo,Biscoe,37.97480392456055,13.38060474395752,193.06982421875,3486.44287109375,FEMALE,fake
Gentoo,Biscoe,40.632545471191406,14.288796424865723,198.8938446044922,4067.604736328125,MALE,fake
Gentoo,Biscoe,38.562583923339844,13.432669639587402,194.1887969970703,3663.559814453125,FEMALE,fake
Chinstrap,Dream,42.41926574707031,15.958094596862793,185.8004913330078,3634.85595703125,MALE,fake
Adelie,Dream,34.89277267456055,15.822559356689453,181.11233520507812,3079.408447265625,FEMALE,fake
Adelie,Dream,34.689701080322266,16.601484298706055,180.8982391357422,3215.71728515625,FEMALE,fake
Gentoo,Biscoe,38.58556365966797,13.840324401855469,192.77171325683594,3670.101318359375,FEMALE,fake
Adelie,Biscoe,35.53521728515625,16.207820892333984,177.56048583984375,3333.272216796875,MALE,fake
Adelie,Torgersen,38.86599349975586,15.874139785766602,188.06263732910156,3700.774658203125,MALE,fake
Adelie,Dream,38.900413513183594,18.13917350769043,183.05731201171875,3487.4306640625,MALE,fake
Adelie,Torgersen,34.2550048828125,15.078681945800781,180.42225646972656,3113.226318359375,FEMALE,fake
Adelie,Biscoe,35.740657806396484,16.21929168701172,174.00701904296875,3296.942138671875,MALE,fake
Gentoo,Biscoe,36.30845260620117,14.28249454498291,194.72601318359375,3788.9638671875,FEMALE,fake
Adelie,Biscoe,35.692989349365234,16.32021141052246,176.6125030517578,3283.097900390625,MALE,fake
Adelie,Torgersen,36.626888275146484,15.471213340759277,175.09445190429688,3158.626220703125,FEMALE,fake
Adelie,Torgersen,39.21044158935547,17.927837371826172,185.96099853515625,3652.4375,MALE,fake
Adelie,Torgersen,33.62577438354492,15.995535850524902,182.20631408691406,3209.122314453125,FEMALE,fake
Chinstrap,Dream,43.129173278808594,16.531604766845703,184.76109313964844,3063.624755859375,MALE,fake
Adelie,Torgersen,33.55188751220703,15.128111839294434,182.27783203125,3096.367919921875,FEMALE,fake
Adelie,Dream,34.972267150878906,16.38844108581543,181.13819885253906,3161.569580078125,FEMALE,fake
Adelie,Biscoe,36.525230407714844,16.930490493774414,181.86880493164062,3666.2646484375,MALE,fake
Adelie,Torgersen,33.36444091796875,17.67062759399414,187.26449584960938,3634.38330078125,MALE,fake
Gentoo,Biscoe,40.62851333618164,14.036483764648438,199.60232543945312,4039.48193359375,MALE,fake
Adelie,Dream,35.43839645385742,17.078176498413086,178.69874572753906,3214.77294921875,MALE,fake
Gentoo,Biscoe,39.92317199707031,14.072632789611816,198.63327026367188,3986.5947265625,MALE,fake
Gentoo,Biscoe,40.52341079711914,13.778064727783203,193.40960693359375,3842.954833984375,FEMALE,fake
Adelie,Torgersen,34.2216911315918,15.136214256286621,182.46934509277344,2919.88427734375,FEMALE,fake
Chinstrap,Dream,42.633846282958984,15.576614379882812,185.53128051757812,3392.51171875,MALE,fake
Gentoo,Biscoe,41.71813201904297,14.432171821594238,202.01315307617188,4125.3037109375,MALE,fake
Adelie,Dream,33.967323303222656,16.809520721435547,183.95252990722656,3727.357666015625,MALE,fake
Adelie,Dream,37.73438262939453,16.14435577392578,188.0013885498047,3395.30712890625,MALE,fake
Adelie,Torgersen,34.45252990722656,16.340457916259766,184.46209716796875,3192.608642578125,FEMALE,fake
Chinstrap,Dream,40.292198181152344,16.333925247192383,185.69393920898438,3415.598876953125,FEMALE,fake
Adelie,Dream,35.66613006591797,16.818161010742188,181.07061767578125,3718.968994140625,MALE,fake
Adelie,Torgersen,33.480445861816406,15.122998237609863,180.9530487060547,3013.90087890625,FEMALE,fake
Adelie,Torgersen,38.28682327270508,16.603769302368164,187.0754852294922,3072.54638671875,MALE,fake
Adelie,Torgersen,32.5433464050293,16.903961181640625,183.4698944091797,3286.322265625,FEMALE,fake
Adelie,Torgersen,32.85192108154297,15.421140670776367,181.72711181640625,2979.65869140625,FEMALE,fake
Chinstrap,Dream,42.80595397949219,16.24248504638672,187.6415557861328,3311.009521484375,MALE,fake
Gentoo,Biscoe,37.85486602783203,13.444046974182129,192.921142578125,3555.9931640625,FEMALE,fake
Adelie,Dream,34.39728546142578,15.608262062072754,181.0234375,3110.336669921875,FEMALE,fake
Adelie,Torgersen,37.723899841308594,16.013315200805664,185.7700653076172,3598.5390625,MALE,fake
Adelie,Biscoe,35.803775787353516,16.026020050048828,175.68035888671875,3248.681396484375,MALE,fake
Gentoo,Biscoe,38.7169303894043,13.550203323364258,193.9942169189453,3739.72509765625,FEMALE,fake
Adelie,Dream,35.458251953125,16.641454696655273,175.45706176757812,3246.701416015625,MALE,fake
Adelie,Dream,34.64496612548828,16.188705444335938,181.8083038330078,3138.2841796875,FEMALE,fake
Gentoo,Biscoe,39.750152587890625,14.159906387329102,198.36680603027344,3996.483642578125,MALE,fake
Chinstrap,Dream,42.74735641479492,16.92146873474121,185.5272216796875,3120.34033203125,MALE,fake
Chinstrap,Dream,38.64651107788086,16.015254974365234,181.8752899169922,3324.106689453125,FEMALE,fake
Gentoo,Biscoe,42.176265716552734,14.410307884216309,203.1458282470703,4201.17724609375,MALE,fake
Adelie,Torgersen,37.03227996826172,15.46724796295166,174.80479431152344,3145.172119140625,FEMALE,fake
Adelie,Biscoe,38.013729095458984,17.285215377807617,187.9781494140625,3813.045166015625,MALE,fake
Gentoo,Biscoe,41.31595230102539,13.903775215148926,198.8717803955078,3976.396728515625,MALE,fake
Chinstrap,Dream,40.32550048828125,16.081628799438477,174.07135009765625,3089.55712890625,FEMALE,fake
Gentoo,Biscoe,39.70649719238281,13.658782005310059,193.82557678222656,3797.160400390625,FEMALE,fake
Adelie,Biscoe,35.22597122192383,15.377612113952637,179.68072509765625,2938.730712890625,FEMALE,fake
Gentoo,Biscoe,38.289485931396484,13.701313018798828,196.3407440185547,3811.455810546875,FEMALE,fake
Adelie,Dream,34.26926040649414,16.7172794342041,181.96875,3746.817138671875,MALE,fake
Gentoo,Biscoe,38.387916564941406,13.657395362854004,195.56834411621094,3913.877197265625,FEMALE,fake
Adelie,Torgersen,35.6278190612793,17.914222717285156,184.31626892089844,3439.742431640625,MALE,fake
Adelie,Torgersen,37.098854064941406,16.54607582092285,180.7108154296875,3125.57080078125,MALE,fake
Gentoo,Biscoe,38.09920883178711,13.406305313110352,195.16419982910156,3746.88330078125,FEMALE,fake
Adelie,Torgersen,32.099998474121094,16.187950134277344,182.58087158203125,3118.17626953125,FEMALE,fake
Adelie,Torgersen,37.6202392578125,15.814007759094238,183.63853454589844,3760.49169921875,MALE,fake
Chinstrap,Dream,38.735069274902344,15.482589721679688,181.30877685546875,3302.416748046875,FEMALE,fake
Adelie,Dream,37.95340347290039,16.532896041870117,187.8040313720703,3615.248779296875,MALE,fake
Adelie,Torgersen,36.13355255126953,15.231088638305664,177.28842163085938,3267.025146484375,FEMALE,fake
Gentoo,Biscoe,42.3066520690918,14.919456481933594,203.76377868652344,4362.09912109375,MALE,fake
Chinstrap,Dream,42.6268310546875,17.070669174194336,183.6678924560547,3105.80810546875,MALE,fake
Adelie,Biscoe,35.92465591430664,15.340109825134277,180.1028289794922,2960.962890625,FEMALE,fake
Gentoo,Biscoe,40.65961456298828,14.519570350646973,199.25201416015625,4075.734130859375,MALE,fake
Adelie,Biscoe,35.78776550292969,16.097726821899414,176.16477966308594,2946.807373046875,FEMALE,fake
Chinstrap,Dream,42.81840515136719,16.740652084350586,185.23526000976562,3173.564697265625,MALE,fake
Gentoo,Biscoe,40.20835876464844,14.466890335083008,197.33071899414062,4102.96875,MALE,fake
Gentoo,Biscoe,40.34165954589844,14.6768217086792,200.32809448242188,4105.66015625,MALE,fake
Chinstrap,Dream,38.33402633666992,15.375127792358398,181.60595703125,2922.9189453125,FEMALE,fake
Gentoo,Biscoe,40.97516632080078,14.24914836883545,200.16293334960938,4261.39990234375,MALE,fake
Chinstrap,Dream,38.89340591430664,16.006938934326172,179.3799591064453,3226.63330078125,FEMALE,fake
Chinstrap,Dream,38.61973571777344,15.549100875854492,180.26712036132812,3300.592529296875,FEMALE,fake
Chinstrap,Dream,42.781124114990234,16.923063278198242,190.11680603027344,3427.747314453125,MALE,fake
Chinstrap,Dream,42.56805419921875,17.27669906616211,193.45486450195312,3794.88037109375,MALE,fake
Gentoo,Biscoe,41.272151947021484,14.017775535583496,198.89242553710938,4111.9052734375,MALE,fake
Chinstrap,Dream,42.76848220825195,16.297765731811523,185.70419311523438,3324.646240234375,MALE,fake
Chinstrap,Dream,39.374900817871094,15.418630599975586,182.3853302001953,3226.987060546875,FEMALE,fake
Adelie,Biscoe,35.18657302856445,15.892874717712402,176.18756103515625,3175.950439453125,FEMALE,fake
Adelie,Biscoe,34.0688362121582,16.49517250061035,179.8150634765625,3346.833740234375,FEMALE,fake
Chinstrap,Dream,42.38648223876953,15.967826843261719,187.46617126464844,3423.5693359375,MALE,fake
Adelie,Dream,36.578651428222656,15.928956985473633,183.9973907470703,3504.208251953125,MALE,fake
Chinstrap,Dream,43.04240798950195,16.891138076782227,188.6441650390625,3391.353759765625,MALE,fake
Chinstrap,Dream,42.770511627197266,17.040159225463867,184.75477600097656,3132.773681640625,MALE,fake
Chinstrap,Dream,38.57189178466797,16.220890045166016,181.45375061035156,3272.498291015625,FEMALE,fake
Gentoo,Biscoe,42.580963134765625,14.721278190612793,201.46261596679688,4371.16015625,MALE,fake
Adelie,Dream,35.00556182861328,16.36716079711914,178.90304565429688,3099.353759765625,FEMALE,fake
Chinstrap,Dream,47.269168853759766,15.804980278015137,174.50791931152344,3327.11962890625,FEMALE,fake
Gentoo,Biscoe,38.83079528808594,13.468531608581543,194.66188049316406,3616.05078125,FEMALE,fake
Chinstrap,Dream,44.02021408081055,17.453384399414062,187.80099487304688,3577.015869140625,MALE,fake
Gentoo,Biscoe,36.3110466003418,14.221816062927246,193.81089782714844,3858.12255859375,FEMALE,fake
Chinstrap,Dream,39.58392333984375,15.944802284240723,182.2724151611328,3167.448486328125,FEMALE,fake
Gentoo,Biscoe,40.67697525024414,14.952303886413574,203.4930419921875,4429.232421875,MALE,fake
Adelie,Torgersen,32.45333480834961,16.597124099731445,181.74627685546875,3177.06689453125,FEMALE,fake
Adelie,Dream,35.03329849243164,17.086210250854492,179.46701049804688,3331.3603515625,MALE,fake
Chinstrap,Dream,43.17816162109375,17.30098533630371,192.84527587890625,3764.371826171875,MALE,fake
Gentoo,Biscoe,42.786773681640625,14.866793632507324,202.927001953125,4297.49365234375,MALE,fake
Gentoo,Biscoe,42.79398727416992,14.763676643371582,203.74842834472656,4313.85693359375,MALE,fake
Adelie,Dream,33.43859100341797,16.431215286254883,179.54550170898438,3089.0751953125,FEMALE,fake
Chinstrap,Dream,43.43667221069336,16.45246124267578,186.62461853027344,3394.6728515625,MALE,fake
Adelie,Torgersen,32.22710418701172,16.615259170532227,183.4380340576172,3234.00537109375,FEMALE,fake
Gentoo,Biscoe,39.71548843383789,13.869105339050293,196.82077026367188,3782.629638671875,FEMALE,fake
Chinstrap,Dream,40.14065170288086,15.55494499206543,181.31729125976562,3278.641357421875,FEMALE,fake
