,species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
76,Gentoo,Biscoe,FEMALE,57.314022,14.466277,221.86081,4810.1157
77,Chinstrap,Dream,MALE,59.48363,19.58131,209.54106,4157.3115
78,Adelie,Biscoe,FEMALE,53.96339,17.484846,204.92706,3135.0867
79,Gentoo,Biscoe,FEMALE,57.151905,14.390715,222.27766,4800.0596
80,Chinstrap,Dream,MALE,59.49443,19.613628,209.54515,4134.667
81,Chinstrap,Dream,FEMALE,58.92826,18.08872,198.24474,4009.9084
82,Gentoo,Biscoe,FEMALE,57.14229,14.39045,222.15433,4783.1597
83,Gentoo,Biscoe,MALE,59.536182,16.244293,228.34732,5207.6416
84,Gentoo,Biscoe,FEMALE,57.35551,14.426445,222.43619,4816.9253
85,Chinstrap,Dream,MALE,59.49808,19.615673,209.5589,4134.7197
86,Adelie,Dream,FEMALE,50.899216,18.225027,195.45811,3888.2195
87,Chinstrap,Dream,FEMALE,58.99399,18.116018,198.60234,4029.501
88,Gentoo,Biscoe,FEMALE,57.18798,14.444364,221.76234,4815.778
89,Chinstrap,Dream,MALE,59.492817,19.541271,209.78294,4155.8735
90,Chinstrap,Dream,MALE,59.501427,19.65173,209.43396,4129.2397
91,Adelie,Biscoe,MALE,52.02804,19.72945,204.31741,4511.223
92,Gentoo,Biscoe,FEMALE,57.214436,14.377357,222.0299,4782.608
93,Adelie,Biscoe,FEMALE,53.9012,17.64212,205.22324,3152.9216
94,Chinstrap,Dream,MALE,59.489414,19.601236,209.50731,4151.161
95,Chinstrap,Dream,FEMALE,58.90564,18.20585,197.47311,3991.8918
96,Gentoo,Biscoe,MALE,59.524525,16.158129,228.27257,5218.671
97,Gentoo,Biscoe,FEMALE,57.164356,14.435039,221.88268,4800.9917
98,Gentoo,Biscoe,FEMALE,57.292053,14.434851,221.74763,4775.026
99,Gentoo,Biscoe,FEMALE,57.149414,14.361528,221.51865,4776.1714
100,Adelie,Dream,MALE,51.752125,19.160694,198.14983,4852.6987
101,Adelie,Torgersen,MALE,54.621525,20.23529,202.38223,4345.388
102,Gentoo,Biscoe,MALE,59.535137,16.32514,228.4216,5220.085
103,Adelie,Biscoe,FEMALE,53.928883,17.70774,205.0285,3133.0378
104,Gentoo,Biscoe,FEMALE,57.27848,14.422626,221.25711,4737.22
105,Gentoo,Biscoe,MALE,59.535564,16.175209,228.42145,5222.5913
106,Adelie,Dream,MALE,51.768265,19.107285,198.07417,4869.2314
107,Adelie,Dream,FEMALE,50.95371,18.11032,195.35536,3834.7002
108,Gentoo,Biscoe,FEMALE,57.35609,14.444035,221.88289,4815.5977
109,Gentoo,Biscoe,MALE,59.537678,16.254457,228.52228,5233.667
110,Chinstrap,Dream,MALE,59.500153,19.450287,210.2113,4160.824
111,Adelie,Biscoe,FEMALE,53.872116,17.862858,205.45349,3149.5977
112,Chinstrap,Dream,MALE,59.48238,19.542463,209.68425,4164.0576
113,Gentoo,Biscoe,FEMALE,57.331665,14.4039135,222.17827,4830.1787
114,Adelie,Torgersen,FEMALE,50.41856,17.854115,193.37883,3979.7883
115,Chinstrap,Dream,FEMALE,58.8575,17.94098,198.17503,3987.7925
116,Gentoo,Biscoe,MALE,59.533237,16.209068,228.24089,5197.087
117,Gentoo,Biscoe,MALE,59.528214,16.177122,228.17758,5197.1255
118,Gentoo,Biscoe,FEMALE,57.056267,14.472346,222.27898,4804.2705
119,Chinstrap,Dream,FEMALE,59.006153,18.096947,199.32674,4057.8665
120,Chinstrap,Dream,MALE,59.500015,19.680523,209.28189,4130.7393
121,Adelie,Dream,FEMALE,50.897976,18.162848,195.31721,3871.3843
122,Adelie,Biscoe,MALE,51.72259,19.710426,204.33842,4520.8013
123,Gentoo,Biscoe,FEMALE,57.35372,14.451424,221.9804,4809.1587
124,Gentoo,Biscoe,FEMALE,57.03274,14.369575,221.90288,4766.7075
125,Adelie,Torgersen,FEMALE,50.475803,18.034182,193.9057,4007.5383
126,Gentoo,Biscoe,MALE,59.533337,16.37755,228.3237,5206.3154
127,Adelie,Torgersen,MALE,54.60937,20.23491,202.381,4345.805
128,Gentoo,Biscoe,FEMALE,57.082348,14.433081,221.71204,4790.6655
129,Adelie,Torgersen,MALE,54.4941,20.231318,202.36948,4349.723
130,Adelie,Biscoe,MALE,52.10067,19.686388,204.5225,4517.705
131,Chinstrap,Dream,MALE,59.496677,19.569067,209.71129,4148.227
132,Chinstrap,Dream,MALE,59.498283,19.564602,209.75952,4143.689
133,Adelie,Biscoe,MALE,51.99971,19.851831,203.75139,4488.411
134,Adelie,Dream,MALE,51.7575,19.181583,197.87596,4850.7275
135,Adelie,Biscoe,MALE,52.037025,19.832745,203.8487,4491.3926
136,Gentoo,Biscoe,FEMALE,57.19985,14.381134,221.78629,4727.3413
137,Gentoo,Biscoe,MALE,59.536156,16.406427,228.51256,5231.6396
138,Gentoo,Biscoe,FEMALE,57.15213,14.416231,222.30675,4823.6377
139,Gentoo,Biscoe,MALE,59.52967,16.248896,228.10214,5181.3447
140,Gentoo,Biscoe,MALE,59.534477,16.354006,228.23424,5190.3843
141,Adelie,Torgersen,MALE,54.560055,20.233364,202.37604,4347.49
142,Chinstrap,Dream,FEMALE,59.02209,18.026459,199.27274,4070.2278
143,Adelie,Torgersen,MALE,54.77365,20.240126,202.3978,4340.1
144,Gentoo,Biscoe,FEMALE,57.179764,14.349577,222.02588,4786.043
145,Gentoo,Biscoe,MALE,59.53432,16.283098,228.36526,5213.308
146,Chinstrap,Dream,FEMALE,58.939323,17.671688,198.41298,4021.554
147,Adelie,Biscoe,MALE,51.411537,19.76242,204.04317,4517.118
148,Adelie,Torgersen,MALE,54.703613,20.237886,202.39058,4342.5503
149,Gentoo,Biscoe,FEMALE,57.256897,14.419776,221.93935,4800.0396
150,Adelie,Dream,MALE,51.75218,19.136435,198.30441,4857.4077
151,Chinstrap,Dream,FEMALE,58.87841,17.95119,197.6112,3977.1238
152,Chinstrap,Dream,FEMALE,59.024807,18.059046,199.1809,4046.1128
153,Chinstrap,Dream,FEMALE,59.010906,18.125246,199.18541,4058.2795
154,Gentoo,Biscoe,FEMALE,57.2042,14.382682,222.19249,4828.651
155,Adelie,Dream,MALE,51.761024,19.18926,197.73544,4850.598
156,Chinstrap,Dream,MALE,59.492825,19.656172,209.30786,4141.7993
157,Adelie,Dream,FEMALE,50.964607,18.122433,195.41203,3833.651
158,Adelie,Torgersen,FEMALE,50.46886,18.01244,193.84142,4004.153
159,Adelie,Dream,FEMALE,50.912796,18.196823,195.61101,3894.51
160,Chinstrap,Dream,MALE,59.49996,19.573486,209.74962,4138.6904
161,Adelie,Dream,MALE,51.73571,19.202644,198.3021,4838.1187
162,Chinstrap,Dream,FEMALE,58.965824,17.86357,198.64433,4019.3877
163,Adelie,Dream,FEMALE,50.945557,18.021687,195.13976,3814.13
164,Chinstrap,Dream,MALE,59.495018,19.516674,209.90425,4156.4785
165,Adelie,Torgersen,FEMALE,50.4443,17.93532,193.6149,3992.2244
166,Adelie,Dream,MALE,51.74994,19.16963,198.1486,4850.1147
167,Adelie,Biscoe,FEMALE,53.78893,17.86818,206.46997,3199.159
168,Gentoo,Biscoe,FEMALE,56.9841,14.379259,222.15176,4767.4585
169,Gentoo,Biscoe,FEMALE,57.094982,14.38659,222.23247,4785.233
170,Gentoo,Biscoe,FEMALE,57.436085,14.427916,221.59296,4757.711
171,Gentoo,Biscoe,MALE,59.52793,16.195679,228.07639,5181.7876
172,Gentoo,Biscoe,FEMALE,57.070698,14.3971195,221.96231,4801.5854
173,Chinstrap,Dream,FEMALE,58.97336,17.966936,198.82802,4038.154
174,Adelie,Biscoe,FEMALE,53.808628,17.996723,205.66234,3169.1165
175,Chinstrap,Dream,FEMALE,58.962193,17.881449,198.50818,4028.5093
176,Adelie,Torgersen,MALE,54.700752,20.237797,202.39029,4342.65
177,Gentoo,Biscoe,FEMALE,57.31154,14.430631,222.24776,4819.7915
178,Adelie,Torgersen,MALE,53.568043,20.204224,202.28334,4379.0312
179,Adelie,Dream,FEMALE,50.9457,18.074587,195.14864,3830.5757
180,Gentoo,Biscoe,MALE,59.533665,16.281767,228.21243,5190.1577
181,Adelie,Biscoe,MALE,51.724377,19.860863,203.65154,4492.084
182,Adelie,Torgersen,FEMALE,50.482117,18.053928,193.96428,4010.6218
183,Gentoo,Biscoe,MALE,59.535275,16.280375,228.49983,5233.9443
184,Chinstrap,Dream,MALE,59.48521,19.606052,209.46326,4150.3506
185,Chinstrap,Dream,FEMALE,59.03198,18.12867,200.11954,4103.5293
186,Adelie,Dream,FEMALE,50.93563,18.132324,195.36713,3849.3425
187,Gentoo,Biscoe,FEMALE,57.15519,14.437535,222.25137,4792.024
188,Chinstrap,Dream,MALE,59.504574,19.524817,209.9688,4146.7026
189,Gentoo,Biscoe,FEMALE,56.949783,14.353403,222.21089,4804.9785
190,Gentoo,Biscoe,FEMALE,57.21347,14.423271,222.2312,4814.7417
191,Gentoo,Biscoe,FEMALE,57.167923,14.434568,222.29135,4797.3164
192,Adelie,Dream,FEMALE,51.029366,18.291046,195.98013,3855.4739
193,Adelie,Torgersen,FEMALE,50.530262,18.203478,194.41344,4034.2585
194,Adelie,Biscoe,FEMALE,53.936306,17.583118,205.66129,3146.4417
195,Adelie,Torgersen,FEMALE,50.52286,18.180603,194.34406,4030.6086
196,Gentoo,Biscoe,FEMALE,57.310562,14.462276,221.44183,4748.615
197,Adelie,Biscoe,FEMALE,53.869835,17.60764,205.9581,3178.3103
198,Gentoo,Biscoe,FEMALE,57.248306,14.4063225,221.69153,4783.119
199,Chinstrap,Dream,MALE,59.48976,19.532578,209.76202,4166.574
200,Gentoo,Biscoe,FEMALE,57.21014,14.440535,222.20114,4784.7563
201,Adelie,Biscoe,MALE,51.402294,19.79701,203.88373,4510.72
202,Adelie,Biscoe,MALE,52.119522,19.826145,203.89687,4491.013
203,Adelie,Biscoe,FEMALE,53.837536,17.655521,206.81166,3199.037
204,Adelie,Dream,MALE,51.75757,19.17219,197.93492,4852.584
205,Adelie,Dream,FEMALE,50.97012,18.052603,195.27458,3812.7014
206,Adelie,Torgersen,FEMALE,50.4642,17.997831,193.79832,4001.8843
207,Gentoo,Biscoe,MALE,59.52896,16.2218,228.12585,5186.837
208,Adelie,Torgersen,FEMALE,50.477367,18.039072,193.9202,4008.3008
209,Chinstrap,Dream,FEMALE,58.871574,18.097832,198.15277,3995.9644
210,Gentoo,Biscoe,MALE,59.535435,16.237497,228.34692,5209.1978
211,Adelie,Torgersen,MALE,54.178,20.221737,202.33885,4360.136
212,Gentoo,Biscoe,FEMALE,57.207813,14.385758,221.88095,4782.4653
213,Adelie,Torgersen,FEMALE,50.490845,18.081163,194.04533,4014.8875
214,Gentoo,Biscoe,FEMALE,56.90663,14.3645,221.96541,4764.97
215,Gentoo,Biscoe,FEMALE,57.237736,14.414019,221.90869,4767.716
216,Adelie,Dream,MALE,51.75743,19.138262,198.15677,4859.095
217,Adelie,Dream,MALE,51.749214,19.223684,197.81601,4839.228
218,Adelie,Torgersen,FEMALE,50.47747,18.039394,193.92116,4008.351
219,Adelie,Biscoe,FEMALE,53.9368,17.654005,205.56238,3139.2874
220,Chinstrap,Dream,MALE,59.502605,19.568136,209.78104,4141.435
221,Adelie,Biscoe,MALE,52.357758,19.718838,204.43463,4506.488
222,Adelie,Biscoe,MALE,51.393246,19.830364,203.72757,4504.4585
223,Adelie,Dream,FEMALE,50.87174,17.998014,194.88647,3836.924
224,Adelie,Biscoe,FEMALE,53.96428,17.558733,205.50763,3134.3804
225,Gentoo,Biscoe,FEMALE,56.972,14.319068,221.6251,4781.3936
226,Adelie,Dream,MALE,51.763275,19.14663,197.9521,4859.751
227,Chinstrap,Dream,FEMALE,58.983894,18.191498,198.30836,4007.3562
228,Adelie,Torgersen,FEMALE,50.433918,17.902605,193.51949,3987.2
229,Gentoo,Biscoe,MALE,59.54267,16.36954,228.42816,5204.6924
230,Chinstrap,Dream,FEMALE,59.021698,17.870584,199.30283,4054.1147
231,Gentoo,Biscoe,FEMALE,57.342712,14.412173,222.13202,4772.001
232,Chinstrap,Dream,MALE,59.50258,19.555256,209.83269,4143.1
233,Adelie,Torgersen,MALE,54.44418,20.229778,202.36455,4351.3994
234,Adelie,Dream,FEMALE,50.987503,18.37193,196.07901,3899.2183
235,Adelie,Biscoe,FEMALE,53.91838,17.626991,205.11444,3145.2983
236,Adelie,Dream,FEMALE,50.972214,18.063507,195.30412,3814.7854
237,Adelie,Biscoe,FEMALE,53.897316,17.68891,206.0132,3158.8694
238,Chinstrap,Dream,FEMALE,58.953438,17.940683,198.82117,4032.9294
239,Adelie,Dream,FEMALE,50.996246,18.156267,195.57422,3830.2524
240,Chinstrap,Dream,FEMALE,58.892044,18.005424,197.62479,3989.262
241,Gentoo,Biscoe,MALE,59.53049,16.125473,228.3729,5225.186
242,Adelie,Torgersen,FEMALE,50.48137,18.051588,193.95732,4010.2551
243,Adelie,Biscoe,MALE,51.405132,19.786436,203.93274,4512.6865
244,Adelie,Dream,FEMALE,50.980366,18.29153,195.83151,3874.0
245,Gentoo,Biscoe,FEMALE,57.07928,14.420814,222.07428,4821.1665
246,Adelie,Biscoe,FEMALE,53.91641,17.70103,205.43382,3143.1912
247,Adelie,Dream,FEMALE,50.947002,18.266842,195.74571,3887.4504
248,Gentoo,Biscoe,MALE,59.53299,16.205866,228.23888,5197.318
249,Chinstrap,Dream,MALE,59.495792,19.584202,209.65768,4142.7925
250,Gentoo,Biscoe,FEMALE,57.15163,14.386295,222.16693,4809.3647
251,Gentoo,Biscoe,MALE,59.524063,16.249704,227.99298,5174.8267
252,Adelie,Dream,MALE,51.739338,19.17339,198.39842,4845.2617
253,Chinstrap,Dream,MALE,59.488712,19.553303,209.71657,4152.5654
254,Gentoo,Biscoe,FEMALE,57.37136,14.450352,222.05063,4800.6006
255,Adelie,Torgersen,MALE,54.669106,20.236792,202.38705,4343.748
