,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
54,Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE,real
55,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE,real
56,Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,real
57,Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE,real
58,Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE,real
59,Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE,real
60,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE,real
61,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,MALE,real
62,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,FEMALE,real
63,Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,real
64,Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,real
65,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,MALE,real
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,real
67,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE,real
68,Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,real
69,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE,real
70,Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,real
71,Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE,real
72,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE,real
73,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,FEMALE,real
74,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,FEMALE,real
75,Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE,real
76,Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,real
77,Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE,real
78,Adelie,Dream,37.8,18.1,193.0,3750.0,MALE,real
79,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,MALE,real
80,Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE,real
81,Adelie,Dream,39.2,18.6,190.0,4250.0,MALE,real
82,Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE,real
83,Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,real
84,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,MALE,real
85,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,FEMALE,real
86,Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,real
87,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,FEMALE,real
88,Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE,real
89,Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE,real
90,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE,real
91,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE,real
92,Adelie,Dream,41.5,18.5,201.0,4000.0,MALE,real
93,Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,real
94,Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,real
95,Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,real
96,Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,real
97,Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,real
98,Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,real
99,Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,real
100,Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,real
101,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,real
102,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,real
103,Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,real
104,Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,real
105,Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,real
106,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,real
107,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,real
108,Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,real
109,Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,real
110,Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,real
111,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,real
112,Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,real
113,Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,real
114,Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,real
115,Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,real
116,Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,real
117,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,real
118,Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,real
119,Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,real
120,Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,real
121,Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,real
122,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,real
123,Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,real
124,Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,real
125,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,real
126,Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,real
127,Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,real
128,Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,real
129,Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,real
130,Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,real
131,Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,real
132,Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,real
133,Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,real
134,Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,real
135,Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,real
136,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,real
137,Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,real
138,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,real
139,Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,real
140,Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,real
141,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,real
142,Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,real
143,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,real
144,Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,real
145,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,real
146,Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,real
147,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,real
148,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,real
149,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,real
150,Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,real
151,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,real
152,Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,real
153,Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,real
154,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,real
155,Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,real
156,Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,real
157,Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,real
158,Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,real
159,Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,real
160,Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,real
161,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,real
162,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,real
163,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,real
164,Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,real
165,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,real
166,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,real
167,Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,real
168,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,real
169,Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,real
170,Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,real
171,Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,real
172,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,real
173,Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,real
174,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,real
175,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,real
176,Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,real
177,Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,real
178,Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,real
179,Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,real
180,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,real
181,Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,real
182,Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,real
183,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,real
184,Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,real
185,Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,real
186,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,real
187,Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,real
188,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,real
189,Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,real
190,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,real
191,Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,real
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,real
193,Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,real
194,Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,real
195,Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,real
196,Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,real
197,Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,real
198,Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,real
199,Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,real
200,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE,real
201,Adelie,Dream,40.2,20.1,200.0,3975.0,MALE,real
202,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,MALE,real
203,Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE,real
204,Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE,real
205,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE,real
206,Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE,real
207,Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE,real
208,Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE,real
209,Adelie,Dream,41.1,19.0,182.0,3425.0,MALE,real
210,Adelie,Dream,40.8,18.9,208.0,4300.0,MALE,real
211,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,MALE,real
212,Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE,real
213,Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE,real
214,Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,real
215,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE,real
216,Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE,real
217,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE,real
218,Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,real
219,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,MALE,real
220,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,FEMALE,real
221,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,MALE,real
222,Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,real
223,Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE,real
224,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,MALE,real
225,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE,real
226,Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE,real
227,Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE,real
228,Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE,real
229,Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,real
230,Adelie,Dream,40.8,18.4,195.0,3900.0,MALE,real
231,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,FEMALE,real
232,Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE,real
233,Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE,real
234,Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE,real
235,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE,real
236,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,FEMALE,real
237,Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,real
238,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE,real
239,Chinstrap,Dream,42.5,17.3,187.0,3350.0,FEMALE,real
240,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE,real
241,Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,real
242,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,MALE,real
243,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,FEMALE,real
244,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,MALE,real
245,Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,real
246,Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE,real
247,Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE,real
248,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,FEMALE,real
249,Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE,real
250,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE,real
251,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,FEMALE,real
252,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE,real
253,Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE,real
254,Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,real
255,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,MALE,real
256,Adelie,Biscoe,42.108070373535156,18.60690689086914,181.26644897460938,3843.5341796875,MALE,fake
257,Adelie,Biscoe,43.155677795410156,17.053911209106445,183.5562286376953,3065.982421875,FEMALE,fake
258,Adelie,Dream,36.274784088134766,15.095797538757324,180.1051025390625,2939.418701171875,FEMALE,fake
259,Adelie,Biscoe,39.486785888671875,17.97580337524414,194.49806213378906,3989.739990234375,FEMALE,fake
260,Adelie,Torgersen,40.44047927856445,16.62871742248535,182.3922119140625,3309.55517578125,FEMALE,fake
261,Adelie,Dream,42.55180358886719,19.007980346679688,205.94825744628906,4585.1123046875,MALE,fake
262,Gentoo,Biscoe,49.54441833496094,15.901433944702148,224.40444946289062,5790.58935546875,MALE,fake
263,Adelie,Biscoe,42.101600646972656,18.41507339477539,181.71240234375,4039.03759765625,MALE,fake
264,Adelie,Biscoe,41.93934631347656,18.381799697875977,181.54551696777344,3999.02685546875,MALE,fake
265,Adelie,Biscoe,38.645748138427734,17.119909286499023,187.9320526123047,3440.8935546875,FEMALE,fake
266,Gentoo,Biscoe,44.29536437988281,14.033401489257812,211.48226928710938,4561.34423828125,FEMALE,fake
267,Chinstrap,Dream,52.40415573120117,18.267614364624023,197.46490478515625,3896.408447265625,MALE,fake
268,Adelie,Biscoe,43.816864013671875,19.517059326171875,195.95204162597656,4240.28125,MALE,fake
269,Chinstrap,Dream,51.59218978881836,17.404834747314453,198.71359252929688,3809.91650390625,FEMALE,fake
270,Adelie,Biscoe,39.6580810546875,16.3353214263916,182.14459228515625,3161.374755859375,FEMALE,fake
271,Adelie,Biscoe,39.33979797363281,18.253644943237305,186.41049194335938,3381.265380859375,FEMALE,fake
272,Adelie,Torgersen,43.642921447753906,18.761472702026367,199.13792419433594,4638.99658203125,MALE,fake
273,Gentoo,Biscoe,48.59041213989258,15.672103881835938,221.8689422607422,5542.466796875,MALE,fake
274,Chinstrap,Dream,49.847652435302734,17.73888397216797,197.7389373779297,3860.48583984375,FEMALE,fake
275,Chinstrap,Dream,46.25273513793945,17.025100708007812,189.8624725341797,3488.013671875,FEMALE,fake
276,Adelie,Dream,40.04629898071289,18.08897590637207,189.8892822265625,3666.019287109375,FEMALE,fake
277,Chinstrap,Dream,52.049705505371094,18.690452575683594,210.47213745117188,4746.3466796875,MALE,fake
278,Chinstrap,Dream,47.9656982421875,17.16658592224121,191.1215362548828,3715.644775390625,FEMALE,fake
279,Gentoo,Biscoe,45.26922607421875,14.193573951721191,211.86334228515625,4588.966796875,FEMALE,fake
280,Adelie,Dream,36.48558044433594,15.825033187866211,178.9346923828125,3075.032470703125,FEMALE,fake
281,Gentoo,Biscoe,44.871856689453125,14.057273864746094,210.9789276123047,4556.37353515625,FEMALE,fake
282,Gentoo,Biscoe,47.92839431762695,14.769367218017578,213.30819702148438,4627.4609375,FEMALE,fake
283,Adelie,Dream,42.31075668334961,19.57638931274414,185.3709716796875,4183.94140625,MALE,fake
284,Adelie,Dream,42.71463394165039,18.651294708251953,198.32046508789062,3955.919189453125,MALE,fake
285,Gentoo,Biscoe,48.710079193115234,15.96167278289795,222.21702575683594,5611.9951171875,MALE,fake
286,Adelie,Torgersen,41.268585205078125,17.363096237182617,184.32762145996094,3680.403076171875,FEMALE,fake
287,Chinstrap,Dream,52.91717529296875,19.001569747924805,196.4876251220703,3722.442626953125,MALE,fake
288,Chinstrap,Dream,51.271484375,17.56538963317871,190.6226043701172,3873.539794921875,FEMALE,fake
289,Gentoo,Biscoe,45.02723693847656,13.758936882019043,209.7672882080078,4316.53173828125,FEMALE,fake
290,Gentoo,Biscoe,55.909820556640625,17.125978469848633,230.9954071044922,5336.84033203125,MALE,fake
291,Gentoo,Biscoe,48.600521087646484,16.448301315307617,224.69981384277344,5232.6474609375,MALE,fake
292,Gentoo,Biscoe,44.80596160888672,18.35956573486328,221.18719482421875,5385.05419921875,MALE,fake
293,Adelie,Torgersen,42.287052154541016,19.830799102783203,198.015625,4550.3193359375,MALE,fake
294,Adelie,Dream,40.762550354003906,20.34126853942871,192.14825439453125,4328.416015625,MALE,fake
295,Adelie,Biscoe,40.257320404052734,17.431713104248047,180.36415100097656,3010.010498046875,FEMALE,fake
296,Gentoo,Biscoe,49.366695404052734,15.838648796081543,224.16200256347656,5761.9599609375,MALE,fake
297,Adelie,Torgersen,39.095916748046875,18.065044403076172,188.59725952148438,3875.387451171875,FEMALE,fake
298,Gentoo,Biscoe,44.924991607666016,14.417647361755371,214.09080505371094,4776.310546875,FEMALE,fake
299,Gentoo,Biscoe,55.974082946777344,16.953643798828125,230.99339294433594,5216.50830078125,MALE,fake
300,Chinstrap,Dream,54.15428161621094,21.30548667907715,200.6251983642578,4662.072265625,MALE,fake
301,Gentoo,Biscoe,45.57710647583008,14.619646072387695,214.26608276367188,4838.8193359375,FEMALE,fake
302,Chinstrap,Dream,50.02641677856445,17.99283218383789,195.47802734375,3876.733642578125,FEMALE,fake
303,Chinstrap,Dream,52.456356048583984,18.508052825927734,204.1097869873047,4171.27392578125,MALE,fake
304,Chinstrap,Dream,51.93455123901367,18.753314971923828,194.63558959960938,3581.263671875,MALE,fake
305,Adelie,Torgersen,43.319480895996094,18.309022903442383,197.11488342285156,4207.791015625,MALE,fake
306,Adelie,Dream,38.693058013916016,17.732873916625977,189.82199096679688,3503.5869140625,FEMALE,fake
307,Adelie,Dream,38.095611572265625,18.010648727416992,191.19810485839844,3653.842529296875,FEMALE,fake
308,Adelie,Dream,37.98859405517578,17.203542709350586,196.05599975585938,3527.601318359375,FEMALE,fake
309,Gentoo,Biscoe,44.39472579956055,13.871840476989746,207.62408447265625,4378.03369140625,FEMALE,fake
310,Adelie,Torgersen,38.05831527709961,16.92066764831543,189.53004455566406,3541.34326171875,FEMALE,fake
311,Adelie,Biscoe,37.67015838623047,17.29806900024414,185.48333740234375,3718.693603515625,FEMALE,fake
312,Adelie,Dream,41.586761474609375,18.764326095581055,197.26531982421875,4657.35498046875,MALE,fake
313,Gentoo,Biscoe,49.289634704589844,16.086748123168945,223.74838256835938,5743.75537109375,MALE,fake
314,Chinstrap,Dream,44.96862030029297,17.623397827148438,189.13401794433594,3895.332275390625,FEMALE,fake
315,Adelie,Biscoe,52.163230895996094,20.763866424560547,193.3493194580078,4691.92919921875,MALE,fake
316,Adelie,Torgersen,43.446014404296875,18.365001678466797,198.0200958251953,4198.490234375,MALE,fake
317,Adelie,Dream,43.15700912475586,18.80783462524414,190.98426818847656,4234.46630859375,MALE,fake
318,Adelie,Biscoe,41.67268371582031,19.561691284179688,192.02017211914062,4264.09375,MALE,fake
319,Adelie,Torgersen,43.0045051574707,18.64028549194336,186.126708984375,3916.13037109375,MALE,fake
320,Adelie,Torgersen,45.35331726074219,18.77683448791504,199.74319458007812,4232.72216796875,MALE,fake
321,Chinstrap,Dream,52.24333953857422,17.877756118774414,199.6343536376953,4362.52587890625,MALE,fake
322,Chinstrap,Dream,53.001007080078125,19.81087875366211,209.66921997070312,4730.2802734375,MALE,fake
323,Gentoo,Biscoe,44.017826080322266,13.588091850280762,211.02359008789062,4309.29833984375,FEMALE,fake
324,Gentoo,Biscoe,48.637908935546875,15.98393726348877,221.1663360595703,5556.7626953125,MALE,fake
325,Gentoo,Biscoe,47.560462951660156,16.570125579833984,223.55776977539062,5206.64453125,MALE,fake
326,Gentoo,Biscoe,53.527530670166016,16.781461715698242,230.93263244628906,5593.01318359375,MALE,fake
327,Chinstrap,Dream,52.52705001831055,17.979820251464844,199.23309326171875,4365.486328125,MALE,fake
328,Chinstrap,Dream,52.2829475402832,17.629430770874023,199.7841033935547,3860.0400390625,FEMALE,fake
329,Gentoo,Biscoe,44.22736358642578,13.894944190979004,207.41810607910156,4383.06689453125,FEMALE,fake
330,Adelie,Biscoe,38.49894714355469,18.107200622558594,187.8561248779297,3462.806396484375,FEMALE,fake
331,Adelie,Dream,39.59510803222656,18.273902893066406,186.32691955566406,3669.650390625,FEMALE,fake
332,Chinstrap,Dream,52.74610900878906,19.11006736755371,203.08786010742188,4531.9755859375,MALE,fake
333,Adelie,Biscoe,42.843231201171875,18.651708602905273,182.07920837402344,3944.52783203125,MALE,fake
334,Gentoo,Biscoe,46.729698181152344,14.67078971862793,213.15432739257812,4737.72021484375,FEMALE,fake
335,Adelie,Biscoe,40.873233795166016,19.701427459716797,193.74444580078125,4119.08544921875,MALE,fake
336,Gentoo,Biscoe,49.505794525146484,15.96601390838623,223.92288208007812,5766.9345703125,MALE,fake
337,Adelie,Dream,42.6709098815918,18.84585952758789,190.05880737304688,4183.92236328125,MALE,fake
338,Gentoo,Biscoe,47.102874755859375,15.563178062438965,222.29061889648438,5419.84814453125,MALE,fake
339,Chinstrap,Dream,52.85956573486328,19.114688873291016,197.2959442138672,4275.5556640625,MALE,fake
