species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,real
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,real
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,real
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,real
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,real
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,real
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,real
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,real
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,real
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,real
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,real
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,real
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,real
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,real
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,real
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,real
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,real
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,real
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,real
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,real
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,real
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,real
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,real
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,real
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,real
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,real
Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,real
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,real
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,real
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,real
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,real
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,real
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,real
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,real
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,real
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,real
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,real
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,real
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,real
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,real
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,real
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,real
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,real
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,real
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,real
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,real
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,real
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,real
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,real
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,real
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,real
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,real
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,real
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,real
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,real
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,real
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,real
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,real
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,real
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,real
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,real
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,real
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,real
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,real
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,real
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,real
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,real
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,real
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,real
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,real
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,real
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,real
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,real
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,real
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,real
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,real
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,real
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,real
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,real
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,real
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,real
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,real
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,real
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,real
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,real
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,real
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,real
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,real
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,real
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,real
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,real
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,real
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,real
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,real
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,real
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,real
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,real
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,real
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,real
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,real
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,real
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,real
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,real
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,real
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,real
Adelie,Torgersen,42.99904251098633,17.142681121826172,198.42642211914062,4061.7900390625,FEMALE,fake
Gentoo,Torgersen,43.03729248046875,17.117652893066406,198.5718536376953,4069.80712890625,FEMALE,fake
Gentoo,Biscoe,43.06462478637695,17.119600296020508,198.56727600097656,4069.184326171875,FEMALE,fake
Chinstrap,Dream,43.06214904785156,17.146099090576172,198.44287109375,4062.380126953125,FEMALE,fake
Chinstrap,Biscoe,43.097103118896484,17.125995635986328,198.54576110839844,4067.10595703125,FEMALE,fake
Chinstrap,Biscoe,43.10782241821289,17.123249053955078,198.5491485595703,4066.647216796875,FEMALE,fake
Adelie,Torgersen,43.01112747192383,17.142780303955078,198.43800354003906,4062.604736328125,FEMALE,fake
Chinstrap,Biscoe,43.048316955566406,17.12677764892578,198.49838256835938,4064.389404296875,FEMALE,fake
Adelie,Dream,43.036231994628906,17.14760971069336,198.3974151611328,4059.38525390625,FEMALE,fake
Chinstrap,Biscoe,43.0581169128418,17.1281795501709,198.515869140625,4065.9228515625,FEMALE,fake
Adelie,Torgersen,43.01403045654297,17.12779426574707,198.47752380371094,4063.744873046875,FEMALE,fake
Chinstrap,Biscoe,43.099891662597656,17.11408233642578,198.60206604003906,4070.077880859375,FEMALE,fake
Chinstrap,Biscoe,43.051448822021484,17.136964797973633,198.46392822265625,4062.9287109375,FEMALE,fake
Adelie,Biscoe,43.03673553466797,17.126054763793945,198.50534057617188,4065.4091796875,FEMALE,fake
Adelie,Torgersen,42.959903717041016,17.14940071105957,198.336669921875,4056.622802734375,FEMALE,fake
Chinstrap,Torgersen,43.067440032958984,17.141372680664062,198.4882049560547,4065.24365234375,FEMALE,fake
Chinstrap,Biscoe,43.098087310791016,17.121557235717773,198.5569305419922,4067.4228515625,FEMALE,fake
Gentoo,Torgersen,43.03515625,17.117610931396484,198.52098083496094,4065.47265625,FEMALE,fake
Gentoo,Dream,43.07682418823242,17.129846572875977,198.51092529296875,4065.546875,FEMALE,fake
Adelie,Biscoe,43.063011169433594,17.133953094482422,198.5440216064453,4069.675048828125,FEMALE,fake
Gentoo,Dream,43.08585739135742,17.136104583740234,198.49273681640625,4064.720703125,FEMALE,fake
Gentoo,Torgersen,43.06642532348633,17.112260818481445,198.5857391357422,4069.291259765625,FEMALE,fake
Adelie,Torgersen,43.02458572387695,17.12112808227539,198.5010528564453,4064.4052734375,FEMALE,fake
Gentoo,Biscoe,43.07377243041992,17.102615356445312,198.6431427001953,4072.803466796875,FEMALE,fake
Chinstrap,Biscoe,43.084842681884766,17.135746002197266,198.48880004882812,4064.180908203125,FEMALE,fake
Adelie,Biscoe,43.0068359375,17.120773315429688,198.4825897216797,4063.55126953125,FEMALE,fake
Gentoo,Dream,43.095027923583984,17.12590980529785,198.5917510986328,4071.541015625,FEMALE,fake
Adelie,Biscoe,43.04457092285156,17.138147354125977,198.448486328125,4062.3828125,FEMALE,fake
Adelie,Dream,43.062660217285156,17.123125076293945,198.51788330078125,4065.4189453125,FEMALE,fake
Chinstrap,Dream,43.09269714355469,17.137786865234375,198.4808807373047,4063.834228515625,FEMALE,fake
Gentoo,Dream,43.07695388793945,17.129661560058594,198.53839111328125,4067.853759765625,FEMALE,fake
Chinstrap,Dream,43.057151794433594,17.14504623413086,198.4486846923828,4062.8427734375,FEMALE,fake
Gentoo,Torgersen,43.069366455078125,17.130126953125,198.50022888183594,4064.60546875,FEMALE,fake
Gentoo,Biscoe,43.04221725463867,17.11280632019043,198.55494689941406,4067.690185546875,FEMALE,fake
Gentoo,Torgersen,43.062774658203125,17.133426666259766,198.510986328125,4066.14013671875,FEMALE,fake
Chinstrap,Biscoe,43.05532455444336,17.12497329711914,198.4981689453125,4063.9775390625,FEMALE,fake
Gentoo,Dream,43.08180236816406,17.11355209350586,198.5652313232422,4067.447265625,FEMALE,fake
Chinstrap,Biscoe,43.07502746582031,17.141468048095703,198.4711151123047,4063.89501953125,FEMALE,fake
Gentoo,Biscoe,43.08982467651367,17.11968421936035,198.5912322998047,4070.479248046875,FEMALE,fake
Chinstrap,Torgersen,43.08406448364258,17.139148712158203,198.5105743408203,4066.0751953125,FEMALE,fake
Gentoo,Torgersen,43.063697814941406,17.124927520751953,198.5040740966797,4064.1484375,FEMALE,fake
Gentoo,Dream,43.06840896606445,17.123506546020508,198.54295349121094,4067.517578125,FEMALE,fake
Adelie,Biscoe,43.048980712890625,17.14082145690918,198.46405029296875,4064.174560546875,FEMALE,fake
Gentoo,Biscoe,43.05528259277344,17.112791061401367,198.6052703857422,4071.390625,FEMALE,fake
Adelie,Biscoe,43.042205810546875,17.128372192382812,198.49473571777344,4064.76806640625,FEMALE,fake
Gentoo,Torgersen,43.053192138671875,17.117061614990234,198.5675048828125,4068.635986328125,FEMALE,fake
Gentoo,Dream,43.07514190673828,17.140888214111328,198.45016479492188,4062.012939453125,FEMALE,fake
Adelie,Dream,43.0566291809082,17.126659393310547,198.5059356689453,4065.028076171875,FEMALE,fake
Chinstrap,Biscoe,43.0731201171875,17.121501922607422,198.56365966796875,4068.775390625,FEMALE,fake
Chinstrap,Dream,43.07613754272461,17.138671875,198.445556640625,4061.002685546875,FEMALE,fake
Chinstrap,Dream,43.090274810791016,17.133878707885742,198.47230529785156,4062.048095703125,FEMALE,fake
Adelie,Biscoe,43.03631591796875,17.142133712768555,198.46575927734375,4064.536376953125,FEMALE,fake
Adelie,Torgersen,43.012882232666016,17.14621925354004,198.3782196044922,4057.933349609375,FEMALE,fake
Chinstrap,Dream,43.12045669555664,17.1282958984375,198.5279083251953,4065.81298828125,FEMALE,fake
Adelie,Torgersen,43.04758071899414,17.12453842163086,198.48446655273438,4062.9033203125,FEMALE,fake
Adelie,Biscoe,43.057682037353516,17.120014190673828,198.55056762695312,4067.87646484375,FEMALE,fake
Adelie,Torgersen,43.01472473144531,17.139564514160156,198.46160888671875,4064.220947265625,FEMALE,fake
Adelie,Torgersen,42.93381118774414,17.158523559570312,198.29391479492188,4055.105712890625,FEMALE,fake
Gentoo,Biscoe,43.103599548339844,17.123634338378906,198.57180786132812,4069.147216796875,FEMALE,fake
Chinstrap,Biscoe,43.11465072631836,17.120357513427734,198.56700134277344,4067.654052734375,FEMALE,fake
Chinstrap,Biscoe,43.08366775512695,17.12346839904785,198.54481506347656,4067.129150390625,FEMALE,fake
Adelie,Torgersen,43.0196533203125,17.139766693115234,198.4148712158203,4059.919921875,FEMALE,fake
Chinstrap,Biscoe,43.0539436340332,17.12928581237793,198.45521545410156,4061.172607421875,FEMALE,fake
Adelie,Biscoe,43.06591796875,17.137754440307617,198.41836547851562,4059.18310546875,FEMALE,fake
Adelie,Dream,43.04948043823242,17.15795135498047,198.3819122314453,4059.2431640625,FEMALE,fake
Adelie,Biscoe,43.050758361816406,17.134260177612305,198.5117950439453,4066.900390625,FEMALE,fake
Chinstrap,Biscoe,43.04619216918945,17.125699996948242,198.4970703125,4064.188232421875,FEMALE,fake
Adelie,Torgersen,42.97426986694336,17.13788604736328,198.39552307128906,4059.410888671875,FEMALE,fake
Gentoo,Torgersen,43.03275680541992,17.120296478271484,198.52127075195312,4065.693359375,FEMALE,fake
Adelie,Biscoe,43.04239273071289,17.14167022705078,198.4918975830078,4066.424560546875,FEMALE,fake
Chinstrap,Torgersen,43.07156753540039,17.13715934753418,198.45462036132812,4061.490234375,FEMALE,fake
Gentoo,Biscoe,43.09354782104492,17.104490280151367,198.63368225097656,4071.7236328125,FEMALE,fake
Adelie,Biscoe,43.04594802856445,17.13861083984375,198.48794555664062,4065.649169921875,FEMALE,fake
Adelie,Torgersen,43.03478240966797,17.123796463012695,198.4822235107422,4062.866943359375,FEMALE,fake
Chinstrap,Biscoe,43.06196212768555,17.129098892211914,198.4886932373047,4063.744873046875,FEMALE,fake
Adelie,Dream,43.06574630737305,17.14167594909668,198.48126220703125,4064.861083984375,FEMALE,fake
Adelie,Biscoe,43.03935623168945,17.140901565551758,198.4456787109375,4062.5419921875,FEMALE,fake
Chinstrap,Dream,43.04951858520508,17.148454666137695,198.36557006835938,4056.214111328125,FEMALE,fake
Adelie,Dream,43.066856384277344,17.118804931640625,198.52468872070312,4065.177001953125,FEMALE,fake
Adelie,Torgersen,43.003990173339844,17.142295837402344,198.39532470703125,4059.275634765625,FEMALE,fake
Gentoo,Biscoe,43.08798599243164,17.10685157775879,198.62274169921875,4071.364990234375,FEMALE,fake
Gentoo,Dream,43.069000244140625,17.131010055541992,198.5226287841797,4066.76611328125,FEMALE,fake
Adelie,Dream,43.06967544555664,17.136051177978516,198.50767517089844,4066.2236328125,FEMALE,fake
Adelie,Biscoe,43.05305099487305,17.12013816833496,198.53558349609375,4066.757568359375,FEMALE,fake
Adelie,Biscoe,43.04548263549805,17.139389038085938,198.47268676757812,4064.301025390625,FEMALE,fake
Adelie,Biscoe,43.019859313964844,17.131200790405273,198.47950744628906,4064.57568359375,FEMALE,fake
Chinstrap,Dream,43.07612991333008,17.133827209472656,198.45770263671875,4061.2197265625,FEMALE,fake
Adelie,Biscoe,43.02555465698242,17.11511993408203,198.50643920898438,4064.153564453125,FEMALE,fake
Chinstrap,Torgersen,43.05440902709961,17.13027000427246,198.4665069580078,4061.856201171875,FEMALE,fake
Chinstrap,Torgersen,43.06840133666992,17.133970260620117,198.49005126953125,4064.039306640625,FEMALE,fake
Gentoo,Biscoe,43.074256896972656,17.117841720581055,198.5205535888672,4064.415283203125,FEMALE,fake
Chinstrap,Dream,43.1139030456543,17.12489128112793,198.53504943847656,4065.64697265625,FEMALE,fake
Gentoo,Dream,43.084381103515625,17.12105369567871,198.5596160888672,4068.025634765625,FEMALE,fake
Adelie,Torgersen,43.02031326293945,17.139389038085938,198.45558166503906,4063.246337890625,FEMALE,fake
Adelie,Dream,43.025970458984375,17.151382446289062,198.39651489257812,4060.364013671875,FEMALE,fake
Gentoo,Biscoe,43.06105422973633,17.12849235534668,198.52505493164062,4066.953369140625,FEMALE,fake
Adelie,Biscoe,43.02299880981445,17.147729873657227,198.4260711669922,4062.478515625,FEMALE,fake
Chinstrap,Biscoe,43.06591796875,17.134294509887695,198.46591186523438,4062.4365234375,FEMALE,fake
Adelie,Dream,43.026973724365234,17.159894943237305,198.3467254638672,4057.122314453125,FEMALE,fake
Chinstrap,Dream,43.061954498291016,17.141454696655273,198.46080017089844,4063.16552734375,FEMALE,fake
Adelie,Torgersen,43.0223274230957,17.122817993164062,198.46981811523438,4062.18017578125,FEMALE,fake
Chinstrap,Biscoe,43.059326171875,17.135595321655273,198.45591735839844,4062.01416015625,FEMALE,fake
Adelie,Dream,42.991119384765625,17.15144920349121,198.34957885742188,4057.131591796875,FEMALE,fake
Chinstrap,Torgersen,43.046607971191406,17.134950637817383,198.45497131347656,4061.746337890625,FEMALE,fake
Adelie,Biscoe,43.035400390625,17.117204666137695,198.5599822998047,4068.7998046875,FEMALE,fake
Adelie,Torgersen,42.997520446777344,17.146953582763672,198.36004638671875,4057.018310546875,FEMALE,fake
Adelie,Biscoe,43.05699157714844,17.1115779876709,198.5876007080078,4070.171142578125,FEMALE,fake
Gentoo,Dream,43.092384338378906,17.127756118774414,198.5024871826172,4063.98388671875,FEMALE,fake
Gentoo,Torgersen,43.07002639770508,17.12313461303711,198.52667236328125,4065.78076171875,FEMALE,fake
Chinstrap,Biscoe,43.08415985107422,17.097457885742188,198.62709045410156,4070.18603515625,FEMALE,fake
Gentoo,Biscoe,43.03706741333008,17.10993003845215,198.58087158203125,4069.5283203125,FEMALE,fake
Adelie,Torgersen,43.032283782958984,17.1379337310791,198.43405151367188,4061.0634765625,FEMALE,fake
Adelie,Biscoe,43.0563850402832,17.116056442260742,198.54251098632812,4066.726318359375,FEMALE,fake
Gentoo,Torgersen,43.05109786987305,17.114730834960938,198.60206604003906,4071.541015625,FEMALE,fake
Adelie,Torgersen,43.03715515136719,17.1522274017334,198.40969848632812,4060.873779296875,FEMALE,fake
Gentoo,Biscoe,43.057369232177734,17.091022491455078,198.64813232421875,4071.5478515625,FEMALE,fake
Adelie,Torgersen,42.99445343017578,17.127355575561523,198.45834350585938,4062.5732421875,FEMALE,fake
Gentoo,Dream,43.071842193603516,17.12710952758789,198.5107879638672,4065.40576171875,FEMALE,fake
Adelie,Dream,43.04116439819336,17.14958381652832,198.3983917236328,4059.757568359375,FEMALE,fake
Gentoo,Dream,43.04480743408203,17.121984481811523,198.5146484375,4065.690185546875,FEMALE,fake
Gentoo,Torgersen,43.053863525390625,17.12557601928711,198.50344848632812,4064.390380859375,FEMALE,fake
Gentoo,Dream,43.100467681884766,17.126142501831055,198.55699157714844,4068.030517578125,FEMALE,fake
Adelie,Biscoe,43.05198669433594,17.122217178344727,198.51535034179688,4065.33740234375,FEMALE,fake
Gentoo,Dream,43.09540939331055,17.132638931274414,198.53868103027344,4067.92138671875,FEMALE,fake
Adelie,Torgersen,43.03777313232422,17.12708282470703,198.531982421875,4067.77392578125,FEMALE,fake
Adelie,Biscoe,43.04387283325195,17.133398056030273,198.53689575195312,4069.228271484375,FEMALE,fake
Chinstrap,Biscoe,43.06275939941406,17.13207244873047,198.52720642089844,4067.4970703125,FEMALE,fake
Adelie,Torgersen,43.01768112182617,17.124465942382812,198.482666015625,4063.42041015625,FEMALE,fake
Adelie,Biscoe,43.04422378540039,17.126373291015625,198.46612548828125,4061.818115234375,FEMALE,fake
Adelie,Dream,43.038169860839844,17.126176834106445,198.50555419921875,4065.58642578125,FEMALE,fake
Chinstrap,Biscoe,43.070682525634766,17.142362594604492,198.47561645507812,4064.518310546875,FEMALE,fake
Adelie,Biscoe,42.99568557739258,17.120952606201172,198.46682739257812,4062.705078125,FEMALE,fake
Adelie,Biscoe,43.04949188232422,17.150487899780273,198.41358947753906,4061.0244140625,FEMALE,fake
