species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,real
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,real
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,real
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,real
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,real
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,real
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,real
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,real
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,real
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,real
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,real
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,real
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,real
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,real
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,real
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,real
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,real
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,real
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,real
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,real
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,real
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,real
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,real
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,real
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,real
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,real
Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,real
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,real
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,real
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,real
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,real
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,real
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,real
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,real
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,real
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,real
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,real
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,real
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,real
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,real
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,real
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,real
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,real
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,real
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,real
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,real
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,real
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,real
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,real
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,real
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,real
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,real
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,real
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,real
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,real
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,real
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,real
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,real
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,real
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,real
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,real
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,real
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,real
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,real
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,real
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,real
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,real
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,real
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,real
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,real
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,real
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,real
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,real
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,real
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,real
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,real
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,real
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,real
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,real
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,real
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,real
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,real
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,real
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,real
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,real
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,real
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,real
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,real
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,real
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,real
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,real
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,real
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,real
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,real
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,real
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,real
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,real
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,real
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,real
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,real
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,real
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,real
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,real
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,real
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,real
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,real
Adelie,Dream,36.35091781616211,16.22034454345703,183.5432586669922,3453.08056640625,MALE,fake
Chinstrap,Dream,40.611289978027344,15.821061134338379,182.13034057617188,3168.293212890625,FEMALE,fake
Gentoo,Biscoe,41.76740646362305,14.702077865600586,200.5400390625,4240.8671875,MALE,fake
Gentoo,Biscoe,41.757179260253906,14.70394515991211,200.52293395996094,4242.11376953125,MALE,fake
Chinstrap,Dream,42.405208587646484,16.481807708740234,185.42117309570312,3339.92626953125,MALE,fake
Adelie,Dream,34.593753814697266,15.728734970092773,181.13583374023438,3075.407470703125,FEMALE,fake
Chinstrap,Dream,40.606536865234375,15.822872161865234,182.16098022460938,3166.87060546875,FEMALE,fake
Gentoo,Biscoe,40.042877197265625,13.788859367370605,195.49081420898438,3819.232177734375,FEMALE,fake
Adelie,Dream,36.37263488769531,16.22624397277832,183.55494689941406,3456.282470703125,MALE,fake
Chinstrap,Dream,40.60540771484375,15.825092315673828,182.12890625,3167.470703125,FEMALE,fake
Chinstrap,Dream,43.2386589050293,16.67200469970703,186.5443115234375,3375.12060546875,MALE,fake
Gentoo,Biscoe,40.04931640625,13.795308113098145,195.5729217529297,3824.079833984375,FEMALE,fake
Adelie,Torgersen,37.4962043762207,16.229393005371094,183.7816925048828,3489.311767578125,MALE,fake
Chinstrap,Dream,40.606910705566406,15.824614524841309,182.13510131835938,3167.632568359375,FEMALE,fake
Adelie,Biscoe,37.20880889892578,16.365468978881836,183.3019561767578,3553.3037109375,MALE,fake
Adelie,Dream,34.60899353027344,15.753530502319336,181.1461944580078,3075.07861328125,FEMALE,fake
Gentoo,Biscoe,40.034297943115234,13.789198875427246,195.48910522460938,3819.42578125,FEMALE,fake
Adelie,Biscoe,35.01700210571289,15.68410873413086,182.46551513671875,3198.8662109375,FEMALE,fake
Gentoo,Biscoe,41.75336456298828,14.70348072052002,200.5373992919922,4240.09033203125,MALE,fake
Adelie,Torgersen,35.88542175292969,15.429092407226562,180.58856201171875,3168.947021484375,FEMALE,fake
Adelie,Dream,36.61342239379883,16.36213493347168,183.80014038085938,3502.015380859375,MALE,fake
Chinstrap,Dream,40.5982780456543,15.824348449707031,182.1392364501953,3167.668701171875,FEMALE,fake
Adelie,Dream,34.59552764892578,15.746289253234863,181.13853454589844,3075.095458984375,FEMALE,fake
Adelie,Dream,36.4155387878418,16.23491859436035,183.59495544433594,3463.7265625,MALE,fake
Gentoo,Biscoe,40.03093338012695,13.78858757019043,195.49847412109375,3820.742431640625,FEMALE,fake
Adelie,Torgersen,37.766963958740234,16.399282455444336,184.33912658691406,3537.286376953125,MALE,fake
Gentoo,Biscoe,41.76232147216797,14.703998565673828,200.50758361816406,4238.69189453125,MALE,fake
Adelie,Dream,36.42094039916992,16.24315643310547,183.62620544433594,3463.781982421875,MALE,fake
Gentoo,Biscoe,40.04054641723633,13.791305541992188,195.447021484375,3817.0859375,FEMALE,fake
Gentoo,Biscoe,41.769569396972656,14.704136848449707,200.56439208984375,4241.48046875,MALE,fake
Gentoo,Biscoe,40.03205108642578,13.79092025756836,195.49346923828125,3818.760498046875,FEMALE,fake
Adelie,Biscoe,35.00922393798828,15.685550689697266,182.45840454101562,3197.28466796875,FEMALE,fake
Adelie,Biscoe,36.29291915893555,16.024412155151367,183.05740356445312,3402.533935546875,FEMALE,fake
Gentoo,Biscoe,40.044822692871094,13.791548728942871,195.520263671875,3821.556396484375,FEMALE,fake
Adelie,Dream,34.595184326171875,15.725403785705566,181.1188507080078,3076.662841796875,FEMALE,fake
Gentoo,Biscoe,40.04261779785156,13.790757179260254,195.45175170898438,3817.124267578125,FEMALE,fake
Gentoo,Biscoe,41.73979568481445,14.700968742370605,200.48736572265625,4240.66259765625,MALE,fake
Chinstrap,Dream,40.615692138671875,15.819253921508789,182.13400268554688,3168.31591796875,FEMALE,fake
Gentoo,Biscoe,40.0454216003418,13.802078247070312,195.65872192382812,3829.7236328125,FEMALE,fake
Chinstrap,Dream,40.58778762817383,15.822953224182129,182.1488800048828,3166.796875,FEMALE,fake
Adelie,Biscoe,37.18300247192383,16.35700225830078,183.28158569335938,3548.97021484375,MALE,fake
Gentoo,Biscoe,40.03524398803711,13.7888765335083,195.50038146972656,3821.350830078125,FEMALE,fake
Chinstrap,Dream,40.61540222167969,15.821276664733887,182.14027404785156,3168.79296875,FEMALE,fake
Chinstrap,Dream,40.607139587402344,15.82180118560791,182.154052734375,3167.20166015625,FEMALE,fake
Adelie,Torgersen,37.757686614990234,16.394939422607422,184.33189392089844,3536.190185546875,MALE,fake
Adelie,Dream,36.395469665527344,16.23752784729004,183.59133911132812,3460.182861328125,MALE,fake
Adelie,Biscoe,34.996978759765625,15.690330505371094,182.43865966796875,3193.48681640625,FEMALE,fake
Gentoo,Biscoe,40.04220199584961,13.788142204284668,195.49427795410156,3819.757568359375,FEMALE,fake
Chinstrap,Dream,40.60215759277344,15.825201034545898,182.14170837402344,3167.254150390625,FEMALE,fake
Adelie,Biscoe,37.20792770385742,16.35968017578125,183.33993530273438,3553.07080078125,MALE,fake
Gentoo,Biscoe,41.76243591308594,14.700160026550293,200.54823303222656,4240.83447265625,MALE,fake
Adelie,Biscoe,37.22628402709961,16.37355613708496,183.25595092773438,3554.704345703125,MALE,fake
Gentoo,Biscoe,41.7710075378418,14.705324172973633,200.5823211669922,4242.951171875,MALE,fake
Gentoo,Biscoe,40.0432014465332,13.790120124816895,195.4732208251953,3818.771240234375,FEMALE,fake
Chinstrap,Dream,43.213592529296875,16.675046920776367,186.5213623046875,3376.146240234375,MALE,fake
Adelie,Torgersen,37.77061462402344,16.40534019470215,184.3403778076172,3539.149658203125,MALE,fake
Adelie,Dream,34.6817512512207,15.711833000183105,181.05226135253906,3074.621337890625,FEMALE,fake
Chinstrap,Dream,40.605979919433594,15.825305938720703,182.1422119140625,3167.07763671875,FEMALE,fake
Gentoo,Biscoe,41.74898147583008,14.696910858154297,200.49951171875,4238.80224609375,MALE,fake
Chinstrap,Dream,41.47626495361328,16.16032600402832,183.76614379882812,3244.54541015625,FEMALE,fake
Gentoo,Biscoe,41.761871337890625,14.702857971191406,200.54611206054688,4242.0830078125,MALE,fake
Gentoo,Biscoe,40.04357147216797,13.789444923400879,195.5126495361328,3820.099853515625,FEMALE,fake
Adelie,Torgersen,37.747352600097656,16.39120864868164,184.26785278320312,3535.73974609375,MALE,fake
Gentoo,Biscoe,41.76642608642578,14.703112602233887,200.5560302734375,4242.02490234375,MALE,fake
Adelie,Dream,36.38660430908203,16.22211265563965,183.57327270507812,3457.7265625,MALE,fake
Chinstrap,Dream,43.164146423339844,16.67593002319336,186.4805145263672,3377.843017578125,MALE,fake
Gentoo,Biscoe,40.044288635253906,13.796289443969727,195.5861358642578,3824.371337890625,FEMALE,fake
Gentoo,Biscoe,40.03122329711914,13.788732528686523,195.50038146972656,3819.472900390625,FEMALE,fake
Adelie,Dream,36.39845657348633,16.2375545501709,183.60302734375,3461.168701171875,MALE,fake
Chinstrap,Dream,40.604103088378906,15.82274055480957,182.1157684326172,3168.12744140625,FEMALE,fake
Gentoo,Biscoe,40.033302307128906,13.790423393249512,195.5071563720703,3819.366455078125,FEMALE,fake
Adelie,Dream,36.00319290161133,16.114320755004883,183.16921997070312,3392.250732421875,MALE,fake
Gentoo,Biscoe,40.0368766784668,13.788544654846191,195.45388793945312,3817.0751953125,FEMALE,fake
Adelie,Dream,36.37099838256836,16.222265243530273,183.5162811279297,3455.817138671875,MALE,fake
Adelie,Torgersen,37.75022506713867,16.401775360107422,184.3747100830078,3535.881591796875,MALE,fake
Gentoo,Biscoe,40.03910446166992,13.788853645324707,195.50564575195312,3820.905517578125,FEMALE,fake
Chinstrap,Dream,40.60736846923828,15.821802139282227,182.13662719726562,3165.95751953125,FEMALE,fake
Gentoo,Biscoe,40.03569412231445,13.788222312927246,195.47854614257812,3818.59521484375,FEMALE,fake
Adelie,Biscoe,34.94266128540039,15.698363304138184,182.4171600341797,3193.552734375,FEMALE,fake
Gentoo,Biscoe,41.7447395324707,14.69942855834961,200.50338745117188,4238.1396484375,MALE,fake
Gentoo,Biscoe,41.752296447753906,14.70272445678711,200.4924774169922,4239.8359375,MALE,fake
Adelie,Dream,34.604129791259766,15.727734565734863,181.11474609375,3075.679443359375,FEMALE,fake
Gentoo,Biscoe,41.738563537597656,14.704463958740234,200.50314331054688,4238.97021484375,MALE,fake
Adelie,Biscoe,35.04124069213867,15.685791015625,182.47642517089844,3200.857666015625,FEMALE,fake
Gentoo,Biscoe,41.775447845458984,14.70375919342041,200.55331420898438,4241.28662109375,MALE,fake
Adelie,Dream,36.27202606201172,16.192462921142578,183.44729614257812,3440.026611328125,MALE,fake
Adelie,Torgersen,35.740535736083984,15.468545913696289,180.53985595703125,3147.850341796875,FEMALE,fake
Gentoo,Biscoe,40.04273223876953,13.790449142456055,195.5034637451172,3820.0703125,FEMALE,fake
Gentoo,Biscoe,40.03193283081055,13.790453910827637,195.39479064941406,3813.560546875,FEMALE,fake
Gentoo,Biscoe,41.76258087158203,14.702836990356445,200.56484985351562,4241.6220703125,MALE,fake
Gentoo,Biscoe,41.78460693359375,14.691908836364746,200.60372924804688,4243.39990234375,MALE,fake
Adelie,Torgersen,37.75849914550781,16.399581909179688,184.3312530517578,3537.39404296875,MALE,fake
Chinstrap,Dream,40.60802459716797,15.825643539428711,182.1298828125,3167.038818359375,FEMALE,fake
Adelie,Biscoe,35.328887939453125,15.729911804199219,182.55599975585938,3245.135498046875,FEMALE,fake
Gentoo,Biscoe,41.76498794555664,14.699763298034668,200.5206298828125,4240.685546875,MALE,fake
Gentoo,Biscoe,41.734920501708984,14.701801300048828,200.47872924804688,4239.009765625,MALE,fake
Gentoo,Biscoe,41.76254653930664,14.704460144042969,200.55003356933594,4240.7919921875,MALE,fake
Gentoo,Biscoe,41.74335479736328,14.702098846435547,200.5306854248047,4239.767578125,MALE,fake
Gentoo,Biscoe,41.720252990722656,14.709141731262207,200.42254638671875,4236.1533203125,MALE,fake
Chinstrap,Dream,40.61777877807617,15.827278137207031,182.15664672851562,3168.311279296875,FEMALE,fake
Adelie,Torgersen,35.86806869506836,15.432503700256348,180.5662384033203,3168.450927734375,FEMALE,fake
Gentoo,Biscoe,40.040557861328125,13.786855697631836,195.4105682373047,3815.38525390625,FEMALE,fake
Adelie,Dream,34.5916633605957,15.735956192016602,181.14566040039062,3074.18115234375,FEMALE,fake
Gentoo,Biscoe,40.034305572509766,13.78678035736084,195.48902893066406,3819.416748046875,FEMALE,fake
Adelie,Biscoe,37.201698303222656,16.366199493408203,183.2917022705078,3553.078857421875,MALE,fake
Chinstrap,Dream,43.22047424316406,16.674856185913086,186.52703857421875,3376.6083984375,MALE,fake
Adelie,Dream,34.59162139892578,15.725900650024414,181.15318298339844,3076.03369140625,FEMALE,fake
Gentoo,Biscoe,40.04262924194336,13.792556762695312,195.52554321289062,3821.740234375,FEMALE,fake
Gentoo,Biscoe,40.0422477722168,13.789603233337402,195.48594665527344,3819.578125,FEMALE,fake
Gentoo,Biscoe,41.7794303894043,14.702926635742188,200.59030151367188,4242.24365234375,MALE,fake
Gentoo,Biscoe,40.049442291259766,13.79137897491455,195.47396850585938,3818.402587890625,FEMALE,fake
Gentoo,Biscoe,41.795623779296875,14.68574333190918,200.59251403808594,4241.8125,MALE,fake
Gentoo,Biscoe,41.79437255859375,14.691232681274414,200.63465881347656,4241.99462890625,MALE,fake
Gentoo,Biscoe,41.753746032714844,14.69870662689209,200.5030517578125,4239.318359375,MALE,fake
Chinstrap,Dream,40.614898681640625,15.827853202819824,182.17417907714844,3168.5458984375,FEMALE,fake
Chinstrap,Dream,40.61050796508789,15.83561897277832,182.17416381835938,3161.994140625,FEMALE,fake
Chinstrap,Dream,40.59100341796875,15.82235050201416,182.1368408203125,3166.851318359375,FEMALE,fake
Chinstrap,Dream,40.61963653564453,15.821022033691406,182.12881469726562,3168.384521484375,FEMALE,fake
Adelie,Dream,36.332576751708984,16.21672821044922,183.5454864501953,3450.0771484375,MALE,fake
Chinstrap,Dream,40.60960006713867,15.826555252075195,182.1417236328125,3168.125732421875,FEMALE,fake
Adelie,Dream,36.364723205566406,16.218881607055664,183.5528106689453,3455.54150390625,MALE,fake
Adelie,Biscoe,37.20328903198242,16.362302780151367,183.2454833984375,3552.486572265625,MALE,fake
Adelie,Biscoe,35.01693344116211,15.684283256530762,182.45196533203125,3197.326416015625,FEMALE,fake
Adelie,Dream,34.59337615966797,15.725152015686035,181.11724853515625,3075.532958984375,FEMALE,fake
Chinstrap,Dream,43.04527282714844,16.658864974975586,186.3626708984375,3379.653076171875,MALE,fake
Gentoo,Biscoe,41.757843017578125,14.702502250671387,200.51605224609375,4239.45166015625,MALE,fake
Adelie,Dream,34.5880241394043,15.725695610046387,181.13902282714844,3076.26318359375,FEMALE,fake
Adelie,Dream,34.62343978881836,15.725499153137207,181.08587646484375,3074.445068359375,FEMALE,fake
Adelie,Dream,36.288089752197266,16.193862915039062,183.46633911132812,3441.975341796875,MALE,fake
Adelie,Torgersen,35.85172653198242,15.442709922790527,180.5580291748047,3167.232177734375,FEMALE,fake
Gentoo,Biscoe,41.76655578613281,14.701642036437988,200.5237274169922,4240.0302734375,MALE,fake
Adelie,Torgersen,37.76259231567383,16.388343811035156,184.3527374267578,3535.9892578125,MALE,fake
Gentoo,Biscoe,40.06109619140625,13.791619300842285,195.5143280029297,3822.220703125,FEMALE,fake
Gentoo,Biscoe,41.77421188354492,14.704309463500977,200.53565979003906,4241.990234375,MALE,fake
Adelie,Torgersen,37.7646598815918,16.41191864013672,184.3812255859375,3536.983642578125,MALE,fake
Adelie,Torgersen,37.832923889160156,16.437240600585938,184.4093475341797,3543.54638671875,MALE,fake
